location,date,vaccine,total_vaccinations
Austria,08/01/2021,Johnson&Johnson,0
Austria,08/01/2021,Moderna,0
Austria,08/01/2021,Oxford/AstraZeneca,0
Austria,08/01/2021,Pfizer/BioNTech,31397
Austria,15/01/2021,Johnson&Johnson,0
Austria,15/01/2021,Moderna,91
Austria,15/01/2021,Oxford/AstraZeneca,0
Austria,15/01/2021,Pfizer/BioNTech,116834
Austria,22/01/2021,Johnson&Johnson,0
Austria,22/01/2021,Moderna,311
Austria,22/01/2021,Oxford/AstraZeneca,1
Austria,22/01/2021,Pfizer/BioNTech,214695
Austria,29/01/2021,Johnson&Johnson,0
Austria,29/01/2021,Moderna,4266
Austria,29/01/2021,Oxford/AstraZeneca,2
Austria,29/01/2021,Pfizer/BioNTech,259713
Austria,05/02/2021,Johnson&Johnson,0
Austria,05/02/2021,Moderna,5971
Austria,05/02/2021,Oxford/AstraZeneca,11
Austria,05/02/2021,Pfizer/BioNTech,355743
Austria,12/02/2021,Johnson&Johnson,0
Austria,12/02/2021,Moderna,10069
Austria,12/02/2021,Oxford/AstraZeneca,10838
Austria,12/02/2021,Pfizer/BioNTech,457733
Austria,19/02/2021,Johnson&Johnson,0
Austria,19/02/2021,Moderna,14208
Austria,19/02/2021,Oxford/AstraZeneca,43677
Austria,19/02/2021,Pfizer/BioNTech,523678
Austria,26/02/2021,Johnson&Johnson,0
Austria,26/02/2021,Moderna,22636
Austria,26/02/2021,Oxford/AstraZeneca,101620
Austria,26/02/2021,Pfizer/BioNTech,585072
Austria,05/03/2021,Johnson&Johnson,0
Austria,05/03/2021,Moderna,32005
Austria,05/03/2021,Oxford/AstraZeneca,156595
Austria,05/03/2021,Pfizer/BioNTech,689807
Austria,12/03/2021,Johnson&Johnson,0
Austria,12/03/2021,Moderna,47395
Austria,12/03/2021,Oxford/AstraZeneca,235478
Austria,12/03/2021,Pfizer/BioNTech,853208
Austria,19/03/2021,Johnson&Johnson,17
Austria,19/03/2021,Moderna,79256
Austria,19/03/2021,Oxford/AstraZeneca,308922
Austria,19/03/2021,Pfizer/BioNTech,986173
Austria,26/03/2021,Johnson&Johnson,31
Austria,26/03/2021,Moderna,104708
Austria,26/03/2021,Oxford/AstraZeneca,384501
Austria,26/03/2021,Pfizer/BioNTech,1132661
Austria,02/04/2021,Johnson&Johnson,52
Austria,02/04/2021,Moderna,141140
Austria,02/04/2021,Oxford/AstraZeneca,423121
Austria,02/04/2021,Pfizer/BioNTech,1281093
Austria,09/04/2021,Johnson&Johnson,94
Austria,09/04/2021,Moderna,180732
Austria,09/04/2021,Oxford/AstraZeneca,513686
Austria,09/04/2021,Pfizer/BioNTech,1502750
Austria,16/04/2021,Johnson&Johnson,103
Austria,16/04/2021,Moderna,223303
Austria,16/04/2021,Oxford/AstraZeneca,609751
Austria,16/04/2021,Pfizer/BioNTech,1736814
Austria,23/04/2021,Johnson&Johnson,108
Austria,23/04/2021,Moderna,260663
Austria,23/04/2021,Oxford/AstraZeneca,658766
Austria,23/04/2021,Pfizer/BioNTech,2000606
Austria,30/04/2021,Johnson&Johnson,374
Austria,30/04/2021,Moderna,299651
Austria,30/04/2021,Oxford/AstraZeneca,701281
Austria,30/04/2021,Pfizer/BioNTech,2274253
Austria,07/05/2021,Johnson&Johnson,6512
Austria,07/05/2021,Moderna,348972
Austria,07/05/2021,Oxford/AstraZeneca,764415
Austria,07/05/2021,Pfizer/BioNTech,2604901
Austria,14/05/2021,Johnson&Johnson,13516
Austria,14/05/2021,Moderna,398893
Austria,14/05/2021,Oxford/AstraZeneca,828700
Austria,14/05/2021,Pfizer/BioNTech,2904529
Austria,21/05/2021,Johnson&Johnson,25787
Austria,21/05/2021,Moderna,466921
Austria,21/05/2021,Oxford/AstraZeneca,906614
Austria,21/05/2021,Pfizer/BioNTech,3282532
Austria,28/05/2021,Johnson&Johnson,37949
Austria,28/05/2021,Moderna,520550
Austria,28/05/2021,Oxford/AstraZeneca,989676
Austria,28/05/2021,Pfizer/BioNTech,3617984
Austria,04/06/2021,Johnson&Johnson,58195
Austria,04/06/2021,Moderna,575959
Austria,04/06/2021,Oxford/AstraZeneca,1058478
Austria,04/06/2021,Pfizer/BioNTech,4043829
Austria,11/06/2021,Johnson&Johnson,79867
Austria,11/06/2021,Moderna,638999
Austria,11/06/2021,Oxford/AstraZeneca,1154042
Austria,11/06/2021,Pfizer/BioNTech,4482543
Austria,18/06/2021,Johnson&Johnson,94840
Austria,18/06/2021,Moderna,688659
Austria,18/06/2021,Oxford/AstraZeneca,1206629
Austria,18/06/2021,Pfizer/BioNTech,4937847
Austria,25/06/2021,Johnson&Johnson,103400
Austria,25/06/2021,Moderna,744428
Austria,25/06/2021,Oxford/AstraZeneca,1280710
Austria,25/06/2021,Pfizer/BioNTech,5382860
Austria,02/07/2021,Johnson&Johnson,128801
Austria,02/07/2021,Moderna,804516
Austria,02/07/2021,Oxford/AstraZeneca,1388730
Austria,02/07/2021,Pfizer/BioNTech,5774016
Austria,09/07/2021,Johnson&Johnson,152858
Austria,09/07/2021,Moderna,854934
Austria,09/07/2021,Oxford/AstraZeneca,1456708
Austria,09/07/2021,Pfizer/BioNTech,6101429
Austria,16/07/2021,Johnson&Johnson,172110
Austria,16/07/2021,Moderna,899432
Austria,16/07/2021,Oxford/AstraZeneca,1508480
Austria,16/07/2021,Pfizer/BioNTech,6373425
Austria,23/07/2021,Johnson&Johnson,188629
Austria,23/07/2021,Moderna,945925
Austria,23/07/2021,Oxford/AstraZeneca,1538342
Austria,23/07/2021,Pfizer/BioNTech,6621562
Austria,30/07/2021,Johnson&Johnson,200660
Austria,30/07/2021,Moderna,964828
Austria,30/07/2021,Oxford/AstraZeneca,1565003
Austria,30/07/2021,Pfizer/BioNTech,6831004
Austria,06/08/2021,Johnson&Johnson,215758
Austria,06/08/2021,Moderna,982612
Austria,06/08/2021,Oxford/AstraZeneca,1580559
Austria,06/08/2021,Pfizer/BioNTech,7007407
Austria,13/08/2021,Johnson&Johnson,225982
Austria,13/08/2021,Moderna,992036
Austria,13/08/2021,Oxford/AstraZeneca,1586542
Austria,13/08/2021,Pfizer/BioNTech,7131441
Austria,20/08/2021,Johnson&Johnson,239292
Austria,20/08/2021,Moderna,1005957
Austria,20/08/2021,Oxford/AstraZeneca,1589907
Austria,20/08/2021,Pfizer/BioNTech,7223678
Austria,27/08/2021,Johnson&Johnson,252878
Austria,27/08/2021,Moderna,1009579
Austria,27/08/2021,Oxford/AstraZeneca,1592190
Austria,27/08/2021,Pfizer/BioNTech,7280975
Austria,03/09/2021,Johnson&Johnson,265545
Austria,03/09/2021,Moderna,1014301
Austria,03/09/2021,Oxford/AstraZeneca,1594569
Austria,03/09/2021,Pfizer/BioNTech,7329024
Austria,10/09/2021,Johnson&Johnson,279237
Austria,10/09/2021,Moderna,1017110
Austria,10/09/2021,Oxford/AstraZeneca,1596042
Austria,10/09/2021,Pfizer/BioNTech,7378163
Austria,17/09/2021,Johnson&Johnson,285023
Austria,17/09/2021,Moderna,1019168
Austria,17/09/2021,Oxford/AstraZeneca,1596950
Austria,17/09/2021,Pfizer/BioNTech,7413795
Belgium,08/01/2021,Johnson&Johnson,0
Belgium,08/01/2021,Moderna,0
Belgium,08/01/2021,Oxford/AstraZeneca,0
Belgium,08/01/2021,Pfizer/BioNTech,28008
Belgium,15/01/2021,Johnson&Johnson,0
Belgium,15/01/2021,Moderna,36
Belgium,15/01/2021,Oxford/AstraZeneca,0
Belgium,15/01/2021,Pfizer/BioNTech,126782
Belgium,22/01/2021,Johnson&Johnson,0
Belgium,22/01/2021,Moderna,4495
Belgium,22/01/2021,Oxford/AstraZeneca,0
Belgium,22/01/2021,Pfizer/BioNTech,244484
Belgium,29/01/2021,Johnson&Johnson,0
Belgium,29/01/2021,Moderna,6184
Belgium,29/01/2021,Oxford/AstraZeneca,0
Belgium,29/01/2021,Pfizer/BioNTech,334113
Belgium,05/02/2021,Johnson&Johnson,0
Belgium,05/02/2021,Moderna,15924
Belgium,05/02/2021,Oxford/AstraZeneca,0
Belgium,05/02/2021,Pfizer/BioNTech,463085
Belgium,12/02/2021,Johnson&Johnson,0
Belgium,12/02/2021,Moderna,25497
Belgium,12/02/2021,Oxford/AstraZeneca,350
Belgium,12/02/2021,Pfizer/BioNTech,598519
Belgium,19/02/2021,Johnson&Johnson,0
Belgium,19/02/2021,Moderna,30288
Belgium,19/02/2021,Oxford/AstraZeneca,10726
Belgium,19/02/2021,Pfizer/BioNTech,699103
Belgium,26/02/2021,Johnson&Johnson,0
Belgium,26/02/2021,Moderna,32749
Belgium,26/02/2021,Oxford/AstraZeneca,45254
Belgium,26/02/2021,Pfizer/BioNTech,787649
Belgium,05/03/2021,Johnson&Johnson,0
Belgium,05/03/2021,Moderna,51556
Belgium,05/03/2021,Oxford/AstraZeneca,109972
Belgium,05/03/2021,Pfizer/BioNTech,876616
Belgium,12/03/2021,Johnson&Johnson,0
Belgium,12/03/2021,Moderna,67451
Belgium,12/03/2021,Oxford/AstraZeneca,191041
Belgium,12/03/2021,Pfizer/BioNTech,972957
Belgium,19/03/2021,Johnson&Johnson,0
Belgium,19/03/2021,Moderna,89901
Belgium,19/03/2021,Oxford/AstraZeneca,350765
Belgium,19/03/2021,Pfizer/BioNTech,1083272
Belgium,26/03/2021,Johnson&Johnson,0
Belgium,26/03/2021,Moderna,100210
Belgium,26/03/2021,Oxford/AstraZeneca,461370
Belgium,26/03/2021,Pfizer/BioNTech,1279776
Belgium,02/04/2021,Johnson&Johnson,0
Belgium,02/04/2021,Moderna,127979
Belgium,02/04/2021,Oxford/AstraZeneca,521321
Belgium,02/04/2021,Pfizer/BioNTech,1538336
Belgium,09/04/2021,Johnson&Johnson,0
Belgium,09/04/2021,Moderna,175173
Belgium,09/04/2021,Oxford/AstraZeneca,600985
Belgium,09/04/2021,Pfizer/BioNTech,1856316
Belgium,16/04/2021,Johnson&Johnson,0
Belgium,16/04/2021,Moderna,209752
Belgium,16/04/2021,Oxford/AstraZeneca,781841
Belgium,16/04/2021,Pfizer/BioNTech,2133574
Belgium,23/04/2021,Johnson&Johnson,0
Belgium,23/04/2021,Moderna,261084
Belgium,23/04/2021,Oxford/AstraZeneca,838722
Belgium,23/04/2021,Pfizer/BioNTech,2450541
Belgium,30/04/2021,Johnson&Johnson,2996
Belgium,30/04/2021,Moderna,288106
Belgium,30/04/2021,Oxford/AstraZeneca,904166
Belgium,30/04/2021,Pfizer/BioNTech,2806281
Belgium,07/05/2021,Johnson&Johnson,23858
